class_id,class_name,train_count,train_pct,val_count,val_pct,test_count,test_pct,total
0,a,896,77.0,126,10.8,142,12.2,1164
1,b,220,73.3,32,10.7,48,16.0,300
2,c,498,74.8,78,11.7,90,13.5,666
3,d,571,74.4,93,12.1,103,13.4,767
4,e,2162,71.3,368,12.1,501,16.5,3031
5,f,240,68.8,45,12.9,64,18.3,349
6,g,403,62.8,126,19.6,113,17.6,642
7,h,656,70.3,127,13.6,150,16.1,933
8,i,937,73.0,162,12.6,185,14.4,1284
9,l,648,76.2,84,9.9,118,13.9,850
10,m,289,71.7,66,16.4,48,11.9,403
11,n,1323,70.2,235,12.5,327,17.3,1885
12,o,428,71.0,88,14.6,87,14.4,603
13,r,1072,74.4,151,10.5,217,15.1,1440
14,s,621,72.9,112,13.1,119,14.0,852
15,t,758,75.9,97,9.7,144,14.4,999
16,u,618,72.8,111,13.1,120,14.1,849
17,v,135,70.7,19,9.9,37,19.4,191
18,w,219,74.7,40,13.7,34,11.6,293
19,z,234,72.2,50,15.4,40,12.3,324
