class_id,class_name,train_count,train_pct,val_count,val_pct,test_count,test_pct,total
0,a,779,7.93,0,0,0,0,779
1,b,109,1.11,0,0,0,0,109
2,c,297,3.02,0,0,0,0,297
3,d,378,3.85,0,0,0,0,378
4,e,1707,17.38,0,0,0,0,1707
5,f,207,2.11,0,0,0,0,207
6,g,101,1.03,0,0,0,0,101
7,h,109,1.11,0,0,0,0,109
8,i,707,7.20,0,0,0,0,707
9,j,38,0.39,0,0,0,0,38
10,k,13,0.13,0,0,0,0,13
11,l,544,5.54,0,0,0,0,544
12,m,263,2.68,0,0,0,0,263
13,n,708,7.21,0,0,0,0,708
14,o,589,6.00,0,0,0,0,589
15,p,274,2.79,0,0,0,0,274
16,q,121,1.23,0,0,0,0,121
17,r,742,7.56,0,0,0,0,742
18,s,650,6.62,0,0,0,0,650
19,t,638,6.50,0,0,0,0,638
20,u,615,6.26,0,0,0,0,615
21,v,132,1.34,0,0,0,0,132
22,w,12,0.12,0,0,0,0,12
23,x,43,0.44,0,0,0,0,43
24,y,25,0.25,0,0,0,0,25
25,z,19,0.19,0,0,0,0,19
